miner,config,batch_id,drift_score,drift_band,quality_score,base_contamination,adaptive_formula,effective_param,base_eps,corr_threshold
IsolationForest,"base=0.15,formula=linear_0.15",7,0.0,low,0.8499861610849709,0.15,linear_0.15,0.15,,
IsolationForest,"base=0.15,formula=linear_0.15",8,0.0,low,0.8503401360544218,0.15,linear_0.15,0.15,,
IsolationForest,"base=0.15,formula=linear_0.15",9,1.0,high,0.7,0.15,linear_0.15,0.3,,
IsolationForest,"base=0.15,formula=linear_0.15",10,1.0,high,0.7,0.15,linear_0.15,0.3,,
IsolationForest,"base=0.2,formula=fixed",1,0.0,low,0.8,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",2,0.011441085306892869,low,0.79983922829582,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",3,0.0,low,0.800126103404792,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",4,0.0,low,0.8012422360248448,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",5,1.0,high,0.7969543147208122,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",6,1.0,high,0.8,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",7,0.0,low,0.7998892886797675,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",8,0.0,low,0.7993197278911565,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",9,1.0,high,0.8,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=fixed",10,1.0,high,0.8,0.2,fixed,0.2,,
IsolationForest,"base=0.2,formula=linear_0.20",1,0.0,low,0.8,0.2,linear_0.20,0.2,,
IsolationForest,"base=0.2,formula=linear_0.20",2,0.011441085306892869,low,0.797427652733119,0.2,linear_0.20,0.202288,,
IsolationForest,"base=0.2,formula=linear_0.20",3,0.0,low,0.800126103404792,0.2,linear_0.20,0.2,,
IsolationForest,"base=0.2,formula=linear_0.20",4,0.0,low,0.8012422360248448,0.2,linear_0.20,0.2,,
IsolationForest,"base=0.2,formula=linear_0.20",5,1.0,high,0.5989847715736041,0.2,linear_0.20,0.4,,
IsolationForest,"base=0.2,formula=linear_0.20",6,1.0,high,0.6,0.2,linear_0.20,0.4,,
IsolationForest,"base=0.2,formula=linear_0.20",7,0.0,low,0.7998892886797675,0.2,linear_0.20,0.2,,
IsolationForest,"base=0.2,formula=linear_0.20",8,0.0,low,0.7993197278911565,0.2,linear_0.20,0.2,,
IsolationForest,"base=0.2,formula=linear_0.20",9,1.0,high,0.6,0.2,linear_0.20,0.4,,
IsolationForest,"base=0.2,formula=linear_0.20",10,1.0,high,0.6,0.2,linear_0.20,0.4,,
IsolationForest,"base=0.2,formula=linear_0.30",1,0.0,low,0.8,0.2,linear_0.30,0.2,,
IsolationForest,"base=0.2,formula=linear_0.30",2,0.011441085306892869,low,0.7966237942122186,0.2,linear_0.30,0.203432,,
IsolationForest,"base=0.2,formula=linear_0.30",3,0.0,low,0.800126103404792,0.2,linear_0.30,0.2,,
IsolationForest,"base=0.2,formula=linear_0.30",4,0.0,low,0.8012422360248448,0.2,linear_0.30,0.2,,
IsolationForest,"base=0.2,formula=linear_0.30",5,1.0,high,0.5076142131979695,0.2,linear_0.30,0.49,,
IsolationForest,"base=0.2,formula=linear_0.30",6,1.0,high,0.51,0.2,linear_0.30,0.49,,
IsolationForest,"base=0.2,formula=linear_0.30",7,0.0,low,0.7998892886797675,0.2,linear_0.30,0.2,,
IsolationForest,"base=0.2,formula=linear_0.30",8,0.0,low,0.7993197278911565,0.2,linear_0.30,0.2,,
IsolationForest,"base=0.2,formula=linear_0.30",9,1.0,high,0.5106382978723405,0.2,linear_0.30,0.49,,
IsolationForest,"base=0.2,formula=linear_0.30",10,1.0,high,0.51,0.2,linear_0.30,0.49,,
IsolationForest,"base=0.2,formula=linear_0.15",1,0.0,low,0.8,0.2,linear_0.15,0.2,,
IsolationForest,"base=0.2,formula=linear_0.15",2,0.011441085306892869,low,0.7982315112540193,0.2,linear_0.15,0.201716,,
IsolationForest,"base=0.2,formula=linear_0.15",3,0.0,low,0.800126103404792,0.2,linear_0.15,0.2,,
IsolationForest,"base=0.2,formula=linear_0.15",4,0.0,low,0.8012422360248448,0.2,linear_0.15,0.2,,
IsolationForest,"base=0.2,formula=linear_0.15",5,1.0,high,0.649746192893401,0.2,linear_0.15,0.35,,
IsolationForest,"base=0.2,formula=linear_0.15",6,1.0,high,0.65,0.2,linear_0.15,0.35,,
IsolationForest,"base=0.2,formula=linear_0.15",7,0.0,low,0.7998892886797675,0.2,linear_0.15,0.2,,
IsolationForest,"base=0.2,formula=linear_0.15",8,0.0,low,0.7993197278911565,0.2,linear_0.15,0.2,,
IsolationForest,"base=0.2,formula=linear_0.15",9,1.0,high,0.648936170212766,0.2,linear_0.15,0.35,,
IsolationForest,"base=0.2,formula=linear_0.15",10,1.0,high,0.65,0.2,linear_0.15,0.35,,
IsolationForest,"base=0.25,formula=fixed",1,0.0,low,0.750561797752809,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",2,0.011441085306892869,low,0.75,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",3,0.0,low,0.7496847414880201,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",4,0.0,low,0.7515527950310559,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",5,1.0,high,0.751269035532995,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",6,1.0,high,0.75,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",7,0.0,low,0.7500691945751453,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",8,0.0,low,0.7482993197278911,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",9,1.0,high,0.7489361702127659,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=fixed",10,1.0,high,0.75,0.25,fixed,0.25,,
IsolationForest,"base=0.25,formula=linear_0.20",1,0.0,low,0.750561797752809,0.25,linear_0.20,0.25,,
IsolationForest,"base=0.25,formula=linear_0.20",2,0.011441085306892869,low,0.747588424437299,0.25,linear_0.20,0.252288,,
IsolationForest,"base=0.25,formula=linear_0.20",3,0.0,low,0.7496847414880201,0.25,linear_0.20,0.25,,
IsolationForest,"base=0.25,formula=linear_0.20",4,0.0,low,0.7515527950310559,0.25,linear_0.20,0.25,,
IsolationForest,"base=0.25,formula=linear_0.20",5,1.0,high,0.5482233502538071,0.25,linear_0.20,0.45,,
IsolationForest,"base=0.25,formula=linear_0.20",6,1.0,high,0.55,0.25,linear_0.20,0.45,,
IsolationForest,"base=0.25,formula=linear_0.20",7,0.0,low,0.7500691945751453,0.25,linear_0.20,0.25,,
IsolationForest,"base=0.25,formula=linear_0.20",8,0.0,low,0.7482993197278911,0.25,linear_0.20,0.25,,
IsolationForest,"base=0.25,formula=linear_0.20",9,1.0,high,0.548936170212766,0.25,linear_0.20,0.45,,
IsolationForest,"base=0.25,formula=linear_0.20",10,1.0,high,0.55,0.25,linear_0.20,0.45,,
IsolationForest,"base=0.25,formula=linear_0.30",1,0.0,low,0.750561797752809,0.25,linear_0.30,0.25,,
